nombre,categoria,tipo,hp,debilidad,resistencia,ataque_1_nombre,ataque_1_dano,ataque_1_costo,ataque_1_efecto,ataque_2_nombre,ataque_2_dano,ataque_2_costo,ataque_2_efecto,imagen_small,imagen_large
Cinnabar City Gym,Entrenador,Stadium,,,,,,,,,,,,https://images.pokemontcg.io/gym2/113.png,https://images.pokemontcg.io/gym2/113_hires.png
Clefairy Doll,Entrenador,,10,,,,,,,,,,,https://images.pokemontcg.io/base1/70.png,https://images.pokemontcg.io/base1/70_hires.png
Computer Search,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base1/71.png,https://images.pokemontcg.io/base1/71_hires.png
Defender,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base1/80.png,https://images.pokemontcg.io/base1/80_hires.png
Devolution Spray,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base1/72.png,https://images.pokemontcg.io/base1/72_hires.png
Digger,Entrenador,Rocket's Secret Machine,,,,,,,,,,,,https://images.pokemontcg.io/base5/75.png,https://images.pokemontcg.io/base5/75_hires.png
Energy Flow,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym1/122.png,https://images.pokemontcg.io/gym1/122_hires.png
Energy Removal,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base1/92.png,https://images.pokemontcg.io/base1/92_hires.png
Energy Retrieval,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base1/81.png,https://images.pokemontcg.io/base1/81_hires.png
Energy Search,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base3/59.png,https://images.pokemontcg.io/base3/59_hires.png
Erika,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym1/16.png,https://images.pokemontcg.io/gym1/16_hires.png
Erika's Kindness,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym2/103.png,https://images.pokemontcg.io/gym2/103_hires.png
Erika's Maids,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym1/109.png,https://images.pokemontcg.io/gym1/109_hires.png
Erika's Perfume,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym1/110.png,https://images.pokemontcg.io/gym1/110_hires.png
Fervor,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym2/124.png,https://images.pokemontcg.io/gym2/124_hires.png
Fuchsia City Gym,Entrenador,Stadium,,,,,,,,,,,,https://images.pokemontcg.io/gym2/114.png,https://images.pokemontcg.io/gym2/114_hires.png
Full Heal,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base1/82.png,https://images.pokemontcg.io/base1/82_hires.png
Gambler,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base3/60.png,https://images.pokemontcg.io/base3/60_hires.png
Giovanni,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym2/18.png,https://images.pokemontcg.io/gym2/18_hires.png
Giovanni's Last Resort,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym2/105.png,https://images.pokemontcg.io/gym2/105_hires.png
Good Manners,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym1/111.png,https://images.pokemontcg.io/gym1/111_hires.png
Goop Gas Attack,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base5/78.png,https://images.pokemontcg.io/base5/78_hires.png
Gust of Wind,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base1/93.png,https://images.pokemontcg.io/base1/93_hires.png
Here Comes Team Rocket!,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base5/15.png,https://images.pokemontcg.io/base5/15_hires.png
Imposter Oak's Revenge,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base5/76.png,https://images.pokemontcg.io/base5/76_hires.png
Imposter Professor Oak,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base4/102.png,https://images.pokemontcg.io/base4/102_hires.png
Impostor Professor Oak,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base1/73.png,https://images.pokemontcg.io/base1/73_hires.png
Item Finder,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base1/74.png,https://images.pokemontcg.io/base1/74_hires.png
Koga,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym2/19.png,https://images.pokemontcg.io/gym2/19_hires.png
Koga's Ninja Trick,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym2/115.png,https://images.pokemontcg.io/gym2/115_hires.png
Lass,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base1/75.png,https://images.pokemontcg.io/base1/75_hires.png
Lt. Surge,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym1/17.png,https://images.pokemontcg.io/gym1/17_hires.png
Lt. Surge's Secret Plan,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym2/107.png,https://images.pokemontcg.io/gym2/107_hires.png
Lt. Surge's Treaty,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym1/112.png,https://images.pokemontcg.io/gym1/112_hires.png
Maintenance,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base1/83.png,https://images.pokemontcg.io/base1/83_hires.png
Master Ball,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym2/116.png,https://images.pokemontcg.io/gym2/116_hires.png
Max Revive,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym2/117.png,https://images.pokemontcg.io/gym2/117_hires.png
Minion of Team Rocket,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym1/113.png,https://images.pokemontcg.io/gym1/113_hires.png
Misty,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym1/18.png,https://images.pokemontcg.io/gym1/18_hires.png
Misty's Duel,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym1/123.png,https://images.pokemontcg.io/gym1/123_hires.png
Misty's Tears,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym2/118.png,https://images.pokemontcg.io/gym2/118_hires.png
Misty's Wish,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym2/108.png,https://images.pokemontcg.io/gym2/108_hires.png
Misty's Wrath,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym1/114.png,https://images.pokemontcg.io/gym1/114_hires.png
Mr. Fuji,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base3/58.png,https://images.pokemontcg.io/base3/58_hires.png
Mysterious Fossil,Entrenador,,10,,,,,,,,,,,https://images.pokemontcg.io/base3/62.png,https://images.pokemontcg.io/base3/62_hires.png
Narrow Gym,Entrenador,Stadium,,,,,,,,,,,,https://images.pokemontcg.io/gym1/124.png,https://images.pokemontcg.io/gym1/124_hires.png
Nightly Garbage Run,Entrenador,Rocket's Secret Machine,,,,,,,,,,,,https://images.pokemontcg.io/base5/77.png,https://images.pokemontcg.io/base5/77_hires.png
No Removal Gym,Entrenador,Stadium,,,,,,,,,,,,https://images.pokemontcg.io/gym1/103.png,https://images.pokemontcg.io/gym1/103_hires.png
Pewter City Gym,Entrenador,Stadium,,,,,,,,,,,,https://images.pokemontcg.io/gym1/115.png,https://images.pokemontcg.io/gym1/115_hires.png
PlusPower,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base1/84.png,https://images.pokemontcg.io/base1/84_hires.png
Poké Ball,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base2/64.png,https://images.pokemontcg.io/base2/64_hires.png
Pokédex,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base1/87.png,https://images.pokemontcg.io/base1/87_hires.png
Pokémon Breeder,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base1/76.png,https://images.pokemontcg.io/base1/76_hires.png
Pokémon Center,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base1/85.png,https://images.pokemontcg.io/base1/85_hires.png
Pokémon Flute,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base1/86.png,https://images.pokemontcg.io/base1/86_hires.png
Pokémon Trader,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base1/77.png,https://images.pokemontcg.io/base1/77_hires.png
Potion,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base1/94.png,https://images.pokemontcg.io/base1/94_hires.png
Professor Oak,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base1/88.png,https://images.pokemontcg.io/base1/88_hires.png
Recall,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym1/116.png,https://images.pokemontcg.io/gym1/116_hires.png
Recycle,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base3/61.png,https://images.pokemontcg.io/base3/61_hires.png
Resistance Gym,Entrenador,Stadium,,,,,,,,,,,,https://images.pokemontcg.io/gym2/109.png,https://images.pokemontcg.io/gym2/109_hires.png
Revive,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base1/89.png,https://images.pokemontcg.io/base1/89_hires.png
Rocket's Minefield Gym,Entrenador,Stadium,,,,,,,,,,,,https://images.pokemontcg.io/gym2/119.png,https://images.pokemontcg.io/gym2/119_hires.png
Rocket's Secret Experiment,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym2/120.png,https://images.pokemontcg.io/gym2/120_hires.png
Rocket's Sneak Attack,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base5/16.png,https://images.pokemontcg.io/base5/16_hires.png
Sabrina,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym2/20.png,https://images.pokemontcg.io/gym2/20_hires.png
Sabrina's ESP,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym1/117.png,https://images.pokemontcg.io/gym1/117_hires.png
Sabrina's Gaze,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym1/125.png,https://images.pokemontcg.io/gym1/125_hires.png
Sabrina's Psychic Control,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym2/121.png,https://images.pokemontcg.io/gym2/121_hires.png
Saffron City Gym,Entrenador,Stadium,,,,,,,,,,,,https://images.pokemontcg.io/gym2/122.png,https://images.pokemontcg.io/gym2/122_hires.png
Scoop Up,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base1/78.png,https://images.pokemontcg.io/base1/78_hires.png
Secret Mission,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym1/118.png,https://images.pokemontcg.io/gym1/118_hires.png
Sleep!,Entrenador,Rocket's Secret Machine,,,,,,,,,,,,https://images.pokemontcg.io/base5/79.png,https://images.pokemontcg.io/base5/79_hires.png
Super Energy Removal,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base1/79.png,https://images.pokemontcg.io/base1/79_hires.png
Super Potion,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base1/90.png,https://images.pokemontcg.io/base1/90_hires.png
Switch,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base1/95.png,https://images.pokemontcg.io/base1/95_hires.png
The Boss's Way,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/base5/73.png,https://images.pokemontcg.io/base5/73_hires.png
The Rocket's Training Gym,Entrenador,Stadium,,,,,,,,,,,,https://images.pokemontcg.io/gym1/104.png,https://images.pokemontcg.io/gym1/104_hires.png
The Rocket's Trap,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym1/19.png,https://images.pokemontcg.io/gym1/19_hires.png
Tickling Machine,Entrenador,Rocket's Secret Machine,,,,,,,,,,,,https://images.pokemontcg.io/gym1/119.png,https://images.pokemontcg.io/gym1/119_hires.png
Transparent Walls,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym2/125.png,https://images.pokemontcg.io/gym2/125_hires.png
Trash Exchange,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym1/126.png,https://images.pokemontcg.io/gym1/126_hires.png
Vermilion City Gym,Entrenador,Stadium,,,,,,,,,,,,https://images.pokemontcg.io/gym1/120.png,https://images.pokemontcg.io/gym1/120_hires.png
Viridian City Gym,Entrenador,Stadium,,,,,,,,,,,,https://images.pokemontcg.io/gym2/123.png,https://images.pokemontcg.io/gym2/123_hires.png
Warp Point,Entrenador,,,,,,,,,,,,,https://images.pokemontcg.io/gym2/126.png,https://images.pokemontcg.io/gym2/126_hires.png
Double Colorless Energy,Energia,Special,,,,,,,,,,,,https://images.pokemontcg.io/base1/96.png,https://images.pokemontcg.io/base1/96_hires.png
Fighting Energy,Energia,Basic,,,,,,,,,,,,https://images.pokemontcg.io/base1/97.png,https://images.pokemontcg.io/base1/97_hires.png
Fire Energy,Energia,Basic,,,,,,,,,,,,https://images.pokemontcg.io/base1/98.png,https://images.pokemontcg.io/base1/98_hires.png
Full Heal Energy,Energia,Special,,,,,,,,,,,,https://images.pokemontcg.io/base5/81.png,https://images.pokemontcg.io/base5/81_hires.png
Grass Energy,Energia,Basic,,,,,,,,,,,,https://images.pokemontcg.io/base1/99.png,https://images.pokemontcg.io/base1/99_hires.png
Lightning Energy,Energia,Basic,,,,,,,,,,,,https://images.pokemontcg.io/base1/100.png,https://images.pokemontcg.io/base1/100_hires.png
Potion Energy,Energia,Special,,,,,,,,,,,,https://images.pokemontcg.io/base5/82.png,https://images.pokemontcg.io/base5/82_hires.png
Psychic Energy,Energia,Basic,,,,,,,,,,,,https://images.pokemontcg.io/base1/101.png,https://images.pokemontcg.io/base1/101_hires.png
Rainbow Energy,Energia,Special,,,,,,,,,,,,https://images.pokemontcg.io/base5/17.png,https://images.pokemontcg.io/base5/17_hires.png
Water Energy,Energia,Basic,,,,,,,,,,,,https://images.pokemontcg.io/base1/102.png,https://images.pokemontcg.io/base1/102_hires.png
Abra,Pokémon,Psychic,30,Psychic ×2,,Psyshock,10,Psychic,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,,,,https://images.pokemontcg.io/base1/43.png,https://images.pokemontcg.io/base1/43_hires.png
Aerodactyl,Pokémon,Fighting,60,Grass ×2,Fighting -30,Wing Attack,30,"Colorless, Colorless, Colorless",,,,,,https://images.pokemontcg.io/base3/1.png,https://images.pokemontcg.io/base3/1_hires.png
Alakazam,Pokémon,Psychic,80,Psychic ×2,,Confuse Ray,30,"Psychic, Psychic, Psychic","Flip a coin. If heads, the Defending Pokémon is now Confused.",,,,,https://images.pokemontcg.io/base1/1.png,https://images.pokemontcg.io/base1/1_hires.png
Arbok,Pokémon,Grass,60,Psychic ×2,,Terror Strike,10,Grass,"Flip a coin. If heads and if your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. (Do the damage before switching the Pokémon.)",Poison Fang,20,"Grass, Grass, Colorless",The Defending Pokémon is now Poisoned.,https://images.pokemontcg.io/base3/31.png,https://images.pokemontcg.io/base3/31_hires.png
Arcanine,Pokémon,Fire,100,Water ×2,,Flamethrower,50,"Fire, Fire, Colorless",Discard 1 Fire Energy card attached to Arcanine in order to use this attack.,Take Down,80,"Fire, Fire, Colorless, Colorless",Arcanine does 30 damage to itself.,https://images.pokemontcg.io/base1/23.png,https://images.pokemontcg.io/base1/23_hires.png
Articuno,Pokémon,Water,70,,Fighting -30,Freeze Dry,30,"Water, Water, Water","Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",Blizzard,50,"Water, Water, Water, Water","Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokémon. If tails, this attack does 10 damage to each of your own Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",https://images.pokemontcg.io/base3/2.png,https://images.pokemontcg.io/base3/2_hires.png
Beedrill,Pokémon,Grass,80,Fire ×2,Fighting -30,Twineedle,30×,"Colorless, Colorless, Colorless",Flip 2 coins. This attack does 30 damage times the number of heads.,Poison Sting,40,"Grass, Grass, Grass","Flip a coin. If heads, the Defending Pokémon is now Poisoned.",https://images.pokemontcg.io/base1/17.png,https://images.pokemontcg.io/base1/17_hires.png
Bellsprout,Pokémon,Grass,40,Fire ×2,,Vine Whip,10,Grass,,Call for Family,,Grass,Search your deck for a Basic Pokémon named Bellsprout and put it onto your Bench. Shuffle your deck afterward. (You can't use this attack if your Bench is full.),https://images.pokemontcg.io/base2/49.png,https://images.pokemontcg.io/base2/49_hires.png
Blaine's Arcanine,Pokémon,Fire,90,Water ×2,,Heat Tackle,40,"Fire, Colorless, Colorless",Blaine's Arcanine does 10 damage to itself.,Firestorm,120,"Fire, Fire, Fire, Fire",Discard 3 Fire Energy cards attached to Blaine's Arcanine in order to use this attack.,https://images.pokemontcg.io/gym2/1.png,https://images.pokemontcg.io/gym2/1_hires.png
Blaine's Charizard,Pokémon,Fire,100,Water ×2,Fighting -30,Roaring Flames,20+,Fire,"Discard all Fire Energy cards attached to Blaine's Charizard. If all Energy cards attached to Blaine's Charizard provide 2 Fire Energy, discard all of them. This attack does 20 damage plus 20 more damage for each Fire Energy discarded in this way.",Flame Jet,,"Fire, Fire","Flip a coin. If heads, choose 1 of your opponent's Pokémon. This attack does 40 damage to that Pokémon. Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.)",https://images.pokemontcg.io/gym2/2.png,https://images.pokemontcg.io/gym2/2_hires.png
Blaine's Charmander,Pokémon,Fire,50,Water ×2,,Kindle,10,Fire,"Discard 1 Energy card attached to Blaine's Charmander in order to use this attack. If the Defending Pokémon has any Energy cards attached to it, choose 1 of them and discard it.",Slash,20,"Colorless, Colorless",,https://images.pokemontcg.io/gym1/61.png,https://images.pokemontcg.io/gym1/61_hires.png
Blaine's Charmeleon,Pokémon,Fire,70,Water ×2,,Fire Claws,30,"Fire, Fire",,Bonfire,,"Fire, Fire, Fire","Flip 3 coins. For each heads, discard 1 Fire Energy card attached to Blaine's Charmeleon. If you can't discard Energy cards, this attack does nothing. This attack does 10 damage times the number of heads to each of your opponent's Pokémon. Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.)",https://images.pokemontcg.io/gym2/31.png,https://images.pokemontcg.io/gym2/31_hires.png
Blaine's Dodrio,Pokémon,Colorless,70,Lightning ×2,Fighting -30,Mega Peck,50,"Colorless, Colorless","Flip a coin. If tails, this attack does nothing.",,,,,https://images.pokemontcg.io/gym2/32.png,https://images.pokemontcg.io/gym2/32_hires.png
Blaine's Doduo,Pokémon,Colorless,50,Lightning ×2,Fighting -30,Wild Kick,20,Colorless,"Flip a coin. If tails, this attack does nothing.",Retaliate,10×,"Colorless, Colorless",Does 10 damage times the number of damage counters on Blaine's Doduo.,https://images.pokemontcg.io/gym2/61.png,https://images.pokemontcg.io/gym2/61_hires.png
Blaine's Growlithe,Pokémon,Fire,50,Water ×2,,Shake,10,Colorless,"If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. (Do the damage before switching the Pokémon.)",Fire Tackle,30,"Fire, Colorless",Blaine's Growlithe does 10 damage to itself.,https://images.pokemontcg.io/gym1/35.png,https://images.pokemontcg.io/gym1/35_hires.png
Blaine's Kangaskhan,Pokémon,Colorless,80,Fighting ×2,Psychic -30,Child's Punch,10,Colorless,"Flip a coin. If tails, this attack does nothing.",One-Two Punch,30+,"Colorless, Colorless, Colorless","Flip a coin. If heads, this attack does 30 damage plus 10 more damage; if tails, this attack does 30 damage.",https://images.pokemontcg.io/gym1/36.png,https://images.pokemontcg.io/gym1/36_hires.png
Blaine's Magmar,Pokémon,Fire,60,Water ×2,,Firebreathing,10+,Fire,"Flip a coin. If heads, this attack does 10 damage plus 10 more damage; if tails, this attack does 10 damage.",Lava Burst,20×,"Fire, Fire, Fire","Discard the top 5 cards of your deck. (If there are fewer than 5 cards in your deck, discard all of them.) This attack does 20 damage for each Fire Energy card you discarded in this way.",https://images.pokemontcg.io/gym1/37.png,https://images.pokemontcg.io/gym1/37_hires.png
Blaine's Mankey,Pokémon,Fighting,40,Psychic ×2,,Pranks,,Colorless,"Flip a coin. If heads, choose a card from your opponent's discard pile and put it on top of his or her deck.",Fury Swipes,10×,Fighting,Flip 3 coins. This attack does 10 damage times the number of heads.,https://images.pokemontcg.io/gym2/63.png,https://images.pokemontcg.io/gym2/63_hires.png
Blaine's Moltres,Pokémon,Fire,90,,Fighting -30,Phoenix Flame,90,"Fire, Fire, Fire, Fire, Fire","Flip a coin. If tails, shuffle Blaine's Moltres and all cards attached to it into your deck (after doing damage).",,,,,https://images.pokemontcg.io/gym1/1.png,https://images.pokemontcg.io/gym1/1_hires.png
Blaine's Ninetales,Pokémon,Fire,60,Water ×2,,Burn Up,50,"Fire, Fire","Flip a coin. If tails, discard all Fire Energy cards attached to Blaine's Ninetales.",,,,,https://images.pokemontcg.io/gym2/21.png,https://images.pokemontcg.io/gym2/21_hires.png
Blaine's Ponyta,Pokémon,Fire,40,Water ×2,,Agility,20,"Fire, Colorless","Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Blaine's Ponyta.",,,,,https://images.pokemontcg.io/gym1/63.png,https://images.pokemontcg.io/gym1/63_hires.png
Blaine's Rapidash,Pokémon,Fire,70,Water ×2,,Fire Mane,20,Fire,,Stamp,30+,"Fire, Colorless, Colorless","Flip a coin. If heads, this attack does 30 damage plus 10 more damage (to the Defending Pokémon) and 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) If tails, this attack does 30 damage (to the Defending Pokémon).",https://images.pokemontcg.io/gym2/33.png,https://images.pokemontcg.io/gym2/33_hires.png
Blaine's Rhyhorn,Pokémon,Fighting,60,Grass ×2,Lightning -30,Horn Charge,30,Fighting,"Flip a coin. If tails, this attack does nothing.",Overrun,20,"Colorless, Colorless, Colorless","Flip a coin. If heads and if your opponent has any Benched Pokémon, choose 1 of them and this attack does 20 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.)",https://images.pokemontcg.io/gym2/65.png,https://images.pokemontcg.io/gym2/65_hires.png
Blaine's Tauros,Pokémon,Colorless,70,Fighting ×2,Psychic -30,3-Pronged Tail,10×,Colorless,Flip 3 coins. This attack does 10 damage times the number of heads.,Full Speed Charge,20×,"Colorless, Colorless, Colorless",Flip 4 coins. This attack does 20 damage times the number of heads to the Defending Pokémon and 20 damage times the number of tails to Blaine's Tauros.,https://images.pokemontcg.io/gym1/64.png,https://images.pokemontcg.io/gym1/64_hires.png
Blaine's Vulpix,Pokémon,Fire,40,Water ×2,,Tail Fan,20,"Fire, Colorless, Colorless","Flip a coin. If heads, the Defending Pokémon is now Confused.",,,,,https://images.pokemontcg.io/gym1/65.png,https://images.pokemontcg.io/gym1/65_hires.png
Blastoise,Pokémon,Water,100,Lightning ×2,,Hydro Pump,40+,"Water, Water, Water",Does 40 damage plus 10 more damage for each Water Energy attached to Blastoise but not used to pay for this attack's Energy cost. Extra Water Energy after the 2nd doesn't count.,,,,,https://images.pokemontcg.io/base1/2.png,https://images.pokemontcg.io/base1/2_hires.png
Brock's Diglett,Pokémon,Fighting,40,Grass ×2,Lightning -30,Surprise Attack,20,Fighting,"Flip a coin. If tails, this attack does nothing.",Tremor,40,"Fighting, Colorless",Does 10 damage to each of your own Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),https://images.pokemontcg.io/gym2/67.png,https://images.pokemontcg.io/gym2/67_hires.png
Brock's Dugtrio,Pokémon,Fighting,60,Grass ×2,Lightning -30,Lie Low,,Fighting,All damage done to Brock's Dugtrio during your opponent's next turn is reduced by 20 (after applying Weakness and Resistance).,Earthdrill,60,"Fighting, Fighting, Colorless",This attack can't be used unless Brock's Dugtrio used its Lie Low attack last turn.,https://images.pokemontcg.io/gym2/22.png,https://images.pokemontcg.io/gym2/22_hires.png
Brock's Geodude,Pokémon,Fighting,50,Grass ×2,,Tackle,10,Colorless,,Lucky Shot,,"Fighting, Colorless","Choose 1 of your opponent's Benched Pokémon and flip a coin. If heads, this attack does 30 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) This attack can't be used if your opponent has no Benched Pokémon.",https://images.pokemontcg.io/gym1/38.png,https://images.pokemontcg.io/gym1/38_hires.png
Brock's Golbat,Pokémon,Grass,70,Psychic ×2,Fighting -30,Dive,20,Colorless,,Spiral Dive,,"Colorless, Colorless, Colorless",Does 10 damage to each of your opponent's Pokémon. Don't apply Weakness and Resistance.,https://images.pokemontcg.io/gym1/39.png,https://images.pokemontcg.io/gym1/39_hires.png
Brock's Golem,Pokémon,Fighting,90,Grass ×2,,Rock Slide,20,"Fighting, Fighting, Colorless","If your opponent has any Benched Pokémon, choose up to 3 of them. This attack does 10 damage to each of them. (Don't apply Weakness and Resistance for Benched Pokémon.)",Fissure,50,"Fighting, Fighting, Colorless, Colorless",,https://images.pokemontcg.io/gym1/20.png,https://images.pokemontcg.io/gym1/20_hires.png
Brock's Graveler,Pokémon,Fighting,70,Grass ×2,,Rock Toss,20×,"Fighting, Colorless, Colorless",Flip 3 coins. This attack does 20 damage times the number of heads.,,,,,https://images.pokemontcg.io/gym1/40.png,https://images.pokemontcg.io/gym1/40_hires.png
Brock's Lickitung,Pokémon,Colorless,80,Fighting ×2,Psychic -30,Tongue Slap,20,"Colorless, Colorless",,Slam,30×,"Colorless, Colorless, Colorless",Flip 2 coins. This attack does 30 damage times the number of heads.,https://images.pokemontcg.io/gym1/41.png,https://images.pokemontcg.io/gym1/41_hires.png
